あ	2011	相羽美幸・髙橋尚也 2011 「政権交代期における青年の政党イメージの変化」 『日本心理学会大会発表論文集』 75: 153			あいばみゆきたかはしなおや
あ	2016	相原朋枝・酒向治子 2016 「エイコ＆コマのDelicious Movement Workshopの検討　2」 『体育・スポーツ哲学研究』 38(2): 103-116, doi: 10.9772/jpspe.38.2_103		https://www.jstage.jst.go.jp/article/jpspe/38/2/38_103/_article/-char/ja/	あいはらともえさこうはるこ
あ	2010	青木千帆子 2010 「障害者労働をめぐる言説の分析」 大阪大学大学院人間科学研究科 平成21年度 博士論文			あおきちほこ
あ	2016	青木拓也・廣江圭史・鈴木暁・平賀篤・上出直人 2016 「回復期脳卒中患者が自宅退院時に抱く不安や考え」 『日本理学療法学術大会』 2015: 0934		https://www.jstage.jst.go.jp/article/cjpt/2015/0/2015_0934/_article/-char/ja/	あおきたくやひろえけいじすずきあきらひらがあつしかみでなおと
あ	2014	青嶌恵倫香 2014 「レシピ検索システム利用者の行動分析に関する研究 ―システム利用後の行動―」 『全国大会講演論文集』（情報処理学会） 76: "1-545"-"1-546"			あおしまえりか
あ	2014	青田庄真・山田雄司 2014 「戦後日本の教科教育における英語教育の位置づけ ―国会会議録の計量テキスト分析を中心として―」 全国英語教育学会第40回徳島研究大会 8月10日			あおたしょうしんやまだゆうじ
あ	2016	赤桐敦・鈴木美加 2016 「中国人大学院生が日本留学を選択する過程と要因 ―2015 年度中国赴日本国留学生予備学校博士班への調査より―」 『日本語・日本学研究』 6: 215-232		http://ci.nii.ac.jp/naid/120005823111	あかきりあつしすずきみか
あ	2014	縣正樹・臼坂高司・工藤雄司 2014 「中学校・高等学校における情報教育の体系化に向けた教科書分析 ―情報モラル教育に着目して（情報教育,研究発表I）―」 『年会論文集』 30: 70-71		http://ci.nii.ac.jp/naid/110009930331/	あがたまさきうすざかこうじくどうゆうじ
あ	2013	赤野史典・細谷昌右・玄海嗣生・緒方ひとみ・麻見直美 2013 「東日本大震災において緊急消防援助隊の摂取した活動食に関する調査」 『第61回全国消防技術者会議資料』 254-263			あかのふみのりほそやしょうすけげんかいつぎおおがたひとみあさみなおみ
あ	2013	赤野史典・細谷昌右・玄海嗣生・山口至孝・緒形ひとみ・麻見直美 2013 「大規模災害発生時の隊員の効果的な活動食の摂取方策に関する検証」 『消防技術安全所報』 50: 70-77			あかのふみのりほそやしょうすけげんかいつぎおやまぐちしこうおがたひとみあさみなおみ
あ	2012	赤間健一 2012 「動機づけから考える大学生にとっての授業」 『人間文化研究 : 京都学園大学人間文化学会紀要』 29: 125-151			あかまけんいち
